id,Label,modularity_class_str,modularity_class,frecuency
8815,,B,12,5
9116,,B,12,1
9119,,B,12,2
9125,,B,12,1
9141,,B,12,2
9113,,B,12,1
9134,,B,12,1
8861,,B,12,3
9147,,B,12,4
12963,,B,12,2
9148,,B,12,2
12353,,B,12,1
8627,,A,14,2
9207,,B,12,1
7132,,B,12,2
9227,,B,12,1
9244,,B,12,1
9248,,B,12,10
9250,,B,12,1
2576,,A,14,2
9258,,B,12,2
9276,,B,12,1
9527,,B,12,80
9480,,B,12,3
9288,,B,12,2
9705,,B,12,81
10787,,B,12,4
11517,,B,12,2
9462,,B,12,37
9624,,B,12,2
10311,,B,12,3
804,,B,12,8
9293,,B,12,1
9294,,B,12,2
9314,,B,12,1
9311,,B,12,1
9301,,B,12,1
6018,,B,12,1
9347,,B,12,1
9367,,B,12,6
9317,,B,12,1
9334,,B,12,1
9330,,B,12,1
9357,,B,12,8
9369,,B,12,3
9366,,A,14,6
20407,,B,12,10
9408,,B,12,5
12255,,B,12,4
9411,,B,12,1
96,,B,12,3
9425,,B,12,1
9415,,B,12,11
15307,,B,12,2
9448,,B,12,1
9464,,B,12,12
9435,,A,14,3
6973,,A,14,9
9474,,B,12,1
9485,,B,12,1
6991,,B,12,1
9361,,B,12,1
9501,,B,12,1
10891,,B,12,1
11068,,B,12,3
9531,,B,12,1
9539,,B,12,2
9568,,B,12,1
9563,,B,12,3
9590,,B,12,1
9404,,B,12,9
9612,,B,12,1
8662,,B,12,3
9737,,B,12,1
9608,,B,12,1
9675,,B,12,1
9538,,B,12,1
9699,,B,12,1
9701,,B,12,1
9683,,B,12,1
9706,,B,12,1
9725,,B,12,2
8804,,B,12,1
9750,,B,12,1
9660,,B,12,1
9517,,B,12,1
2962,,A,14,19
9776,,B,12,1
9690,,B,12,2
9814,,B,12,1
5475,,B,12,1
9846,,B,12,1
3322,,B,12,3
8725,,B,12,1
9805,,B,12,1
9865,,B,12,1
1932,,B,12,5
9883,,B,12,1
9890,,B,12,1
7757,,A,14,2
9661,,B,12,2
9926,,B,12,1
9930,,B,12,1
9943,,B,12,2
9908,,B,12,1
9947,,B,12,2
3992,,B,12,3
9957,,B,12,1
9686,,B,12,1
9510,,B,12,7
9972,,A,14,6
9971,,B,12,1
9428,,B,12,1
9995,,B,12,2
3177,,B,12,15
9998,,B,12,4
10001,,B,12,1
7862,,B,12,1
483,,B,12,6
10014,,B,12,4
10020,,B,12,1
10023,,B,12,33
10026,,B,12,1
10285,,B,12,9
10041,,B,12,1
9911,,B,12,6
10061,,B,12,6
7543,,B,12,2
10056,,B,12,4
10083,,B,12,1
10067,,B,12,1
10086,,B,12,1
1572,,B,12,2
10097,,B,12,2
10116,,B,12,2
10148,,B,12,4
10172,,B,12,1
9420,,B,12,1
7335,,B,12,1
10190,,B,12,1
10191,,B,12,2
10192,,B,12,12
12452,,B,12,1
6712,,B,12,1
10204,,B,12,1
9736,,B,12,2
10234,,B,12,1
10252,,B,12,2
10261,,B,12,1
10273,,B,12,2
10276,,B,12,1
10283,,B,12,1
10284,,B,12,1
10201,,B,12,1
10307,,A,14,2
10313,,B,12,2
10323,,B,12,1
10324,,B,12,1
10185,,B,12,2
10013,,B,12,2
10350,,B,12,1
2100,,B,12,1
8764,,B,12,1
10359,,B,12,3
9543,,A,14,3
10364,,B,12,2
10395,,B,12,3
8853,,B,12,2
1786,,B,12,3
10446,,B,12,1
93,,B,12,1
9274,,B,12,8
2585,,B,12,4
15417,,B,12,4
11718,,B,12,1
12182,,B,12,6
2751,,B,12,3
10474,,B,12,9
12414,,B,12,2
10479,,B,12,1
12038,,B,12,18
10490,,B,12,1
10493,,B,12,15
3138,,B,12,1
10515,,B,12,1
10534,,B,12,1
10537,,B,12,1
10081,,B,12,2
10145,,B,12,3
10557,,B,12,2
4216,,B,12,2
10339,,B,12,1
10570,,B,12,1
10574,,B,12,1
10569,,B,12,3
10582,,B,12,1
10595,,B,12,1
10599,,B,12,3
10603,,B,12,1
4404,,B,12,1
5558,,A,14,9
10614,,B,12,2
10554,,B,12,1
10620,,B,12,1
10622,,B,12,1
10626,,B,12,1
10607,,B,12,3
10638,,B,12,1
1241,,B,12,1
10617,,B,12,1
9921,,B,12,3
10664,,B,12,6
10431,,B,12,1
10671,,B,12,1
10676,,B,12,1
14379,,B,12,3
10682,,B,12,1
10685,,B,12,1
10156,,B,12,5
10659,,B,12,1
15364,,B,12,16
10716,,B,12,1
9264,,B,12,43
10728,,B,12,2
10739,,B,12,1
9893,,B,12,1
660,,B,12,1
10767,,B,12,3
21570,,B,12,23
10773,,B,12,1
10766,,B,12,5
10798,,B,12,1
10462,,B,12,1
10797,,B,12,5
11947,,B,12,3
10862,,B,12,1
2718,,B,12,8
10871,,B,12,1
10878,,B,12,2
10885,,B,12,1
9283,,B,12,53
10886,,B,12,2
10838,,B,12,1
10933,,B,12,1
7586,,C,7,2
9948,,B,12,1
10942,,B,12,1
10550,,A,14,2
10954,,B,12,1
11669,,B,12,1
10956,,B,12,1
10958,,B,12,1
